PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,AgeBin,NRelatives,HasRelatives,FareOverHundred,Embarked_Q,Embarked_S,Pclass_2,Pclass_3,EmbarkedCat
1,0,3,1,22.0,1,0,7.25,S,1,1,1,0.0725,0,1,0,1,1.0
2,1,1,0,38.0,1,0,71.2833,C,1,1,1,0.7128329999999999,0,0,0,0,2.0
3,1,3,0,26.0,0,0,7.925,S,1,0,0,0.07925,0,1,0,1,1.0
4,1,1,0,35.0,1,0,53.1,S,1,1,1,0.531,0,1,0,0,1.0
5,0,3,1,35.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
6,0,3,1,24.0,0,0,8.4583,Q,1,0,0,0.08458299999999999,1,0,0,1,3.0
7,0,1,1,54.0,0,0,51.8625,S,1,0,0,0.518625,0,1,0,0,1.0
8,0,3,1,2.0,3,1,21.075,S,0,4,1,0.21075,0,1,0,1,1.0
9,1,3,0,27.0,0,2,11.1333,S,1,2,1,0.111333,0,1,0,1,1.0
10,1,2,0,14.0,1,0,30.0708,C,1,1,1,0.300708,0,0,1,0,2.0
11,1,3,0,4.0,1,1,16.7,S,0,2,1,0.16699999999999998,0,1,0,1,1.0
12,1,1,0,58.0,0,0,26.55,S,1,0,0,0.2655,0,1,0,0,1.0
13,0,3,1,20.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
14,0,3,1,39.0,1,5,31.275,S,1,6,1,0.31275,0,1,0,1,1.0
15,0,3,0,14.0,0,0,7.8542,S,1,0,0,0.078542,0,1,0,1,1.0
16,1,2,0,55.0,0,0,16.0,S,1,0,0,0.16,0,1,1,0,1.0
17,0,3,1,2.0,4,1,29.125,Q,0,5,1,0.29125,1,0,0,1,3.0
18,1,2,1,29.0,0,0,13.0,S,1,0,0,0.13,0,1,1,0,1.0
19,0,3,0,31.0,1,0,18.0,S,1,1,1,0.18,0,1,0,1,1.0
20,1,3,0,24.0,0,0,7.225,C,1,0,0,0.07225,0,0,0,1,2.0
21,0,2,1,35.0,0,0,26.0,S,1,0,0,0.26,0,1,1,0,1.0
22,1,2,1,34.0,0,0,13.0,S,1,0,0,0.13,0,1,1,0,1.0
23,1,3,0,15.0,0,0,8.0292,Q,1,0,0,0.08029199999999999,1,0,0,1,3.0
24,1,1,1,28.0,0,0,35.5,S,1,0,0,0.355,0,1,0,0,1.0
25,0,3,0,8.0,3,1,21.075,S,1,4,1,0.21075,0,1,0,1,1.0
26,1,3,0,38.0,1,5,31.3875,S,1,6,1,0.313875,0,1,0,1,1.0
27,0,3,1,24.0,0,0,7.225,C,1,0,0,0.07225,0,0,0,1,2.0
28,0,1,1,19.0,3,2,263.0,S,1,5,1,2.63,0,1,0,0,1.0
29,1,3,0,24.0,0,0,7.8792,Q,1,0,0,0.078792,1,0,0,1,3.0
30,0,3,1,24.0,0,0,7.8958,S,1,0,0,0.078958,0,1,0,1,1.0
31,0,1,1,40.0,0,0,27.7208,C,1,0,0,0.277208,0,0,0,0,2.0
32,1,1,0,37.0,1,0,146.5208,C,1,1,1,1.465208,0,0,0,0,2.0
33,1,3,0,24.0,0,0,7.75,Q,1,0,0,0.0775,1,0,0,1,3.0
34,0,2,1,66.0,0,0,10.5,S,1,0,0,0.105,0,1,1,0,1.0
35,0,1,1,28.0,1,0,82.1708,C,1,1,1,0.821708,0,0,0,0,2.0
36,0,1,1,42.0,1,0,52.0,S,1,1,1,0.52,0,1,0,0,1.0
37,1,3,1,24.0,0,0,7.2292,C,1,0,0,0.072292,0,0,0,1,2.0
38,0,3,1,21.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
39,0,3,0,18.0,2,0,18.0,S,1,2,1,0.18,0,1,0,1,1.0
40,1,3,0,14.0,1,0,11.2417,C,1,1,1,0.112417,0,0,0,1,2.0
41,0,3,0,40.0,1,0,9.475,S,1,1,1,0.09475,0,1,0,1,1.0
42,0,2,0,27.0,1,0,21.0,S,1,1,1,0.21,0,1,1,0,1.0
43,0,3,1,24.0,0,0,7.8958,C,1,0,0,0.078958,0,0,0,1,2.0
44,1,2,0,3.0,1,2,41.5792,C,0,3,1,0.415792,0,0,1,0,2.0
45,1,3,0,19.0,0,0,7.8792,Q,1,0,0,0.078792,1,0,0,1,3.0
46,0,3,1,24.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
47,0,3,1,24.0,1,0,15.5,Q,1,1,1,0.155,1,0,0,1,3.0
48,1,3,0,24.0,0,0,7.75,Q,1,0,0,0.0775,1,0,0,1,3.0
49,0,3,1,24.0,2,0,21.6792,C,1,2,1,0.216792,0,0,0,1,2.0
50,0,3,0,18.0,1,0,17.8,S,1,1,1,0.17800000000000002,0,1,0,1,1.0
51,0,3,1,7.0,4,1,39.6875,S,1,5,1,0.396875,0,1,0,1,1.0
52,0,3,1,21.0,0,0,7.8,S,1,0,0,0.078,0,1,0,1,1.0
53,1,1,0,49.0,1,0,76.7292,C,1,1,1,0.7672920000000001,0,0,0,0,2.0
54,1,2,0,29.0,1,0,26.0,S,1,1,1,0.26,0,1,1,0,1.0
55,0,1,1,65.0,0,1,61.9792,C,1,1,1,0.619792,0,0,0,0,2.0
56,1,1,1,37.0,0,0,35.5,S,1,0,0,0.355,0,1,0,0,1.0
57,1,2,0,21.0,0,0,10.5,S,1,0,0,0.105,0,1,1,0,1.0
58,0,3,1,28.5,0,0,7.2292,C,1,0,0,0.072292,0,0,0,1,2.0
59,1,2,0,5.0,1,2,27.75,S,0,3,1,0.2775,0,1,1,0,1.0
60,0,3,1,11.0,5,2,46.9,S,1,7,1,0.469,0,1,0,1,1.0
61,0,3,1,22.0,0,0,7.2292,C,1,0,0,0.072292,0,0,0,1,2.0
62,1,1,0,38.0,0,0,80.0,Q,1,0,0,0.8,0,0,0,0,3.0
63,0,1,1,45.0,1,0,83.475,S,1,1,1,0.83475,0,1,0,0,1.0
64,0,3,1,4.0,3,2,27.9,S,0,5,1,0.27899999999999997,0,1,0,1,1.0
65,0,1,1,37.0,0,0,27.7208,C,1,0,0,0.277208,0,0,0,0,2.0
66,1,3,1,24.0,1,1,15.2458,C,1,2,1,0.15245799999999998,0,0,0,1,2.0
67,1,2,0,29.0,0,0,10.5,S,1,0,0,0.105,0,1,1,0,1.0
68,0,3,1,19.0,0,0,8.1583,S,1,0,0,0.081583,0,1,0,1,1.0
69,1,3,0,17.0,4,2,7.925,S,1,6,1,0.07925,0,1,0,1,1.0
70,0,3,1,26.0,2,0,8.6625,S,1,2,1,0.086625,0,1,0,1,1.0
71,0,2,1,32.0,0,0,10.5,S,1,0,0,0.105,0,1,1,0,1.0
72,0,3,0,16.0,5,2,46.9,S,1,7,1,0.469,0,1,0,1,1.0
73,0,2,1,21.0,0,0,73.5,S,1,0,0,0.735,0,1,1,0,1.0
74,0,3,1,26.0,1,0,14.4542,C,1,1,1,0.144542,0,0,0,1,2.0
75,1,3,1,32.0,0,0,56.4958,S,1,0,0,0.5649580000000001,0,1,0,1,1.0
76,0,3,1,25.0,0,0,7.65,S,1,0,0,0.0765,0,1,0,1,1.0
77,0,3,1,24.0,0,0,7.8958,S,1,0,0,0.078958,0,1,0,1,1.0
78,0,3,1,24.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
79,1,2,1,0.83,0,2,29.0,S,0,2,1,0.29,0,1,1,0,1.0
80,1,3,0,30.0,0,0,12.475,S,1,0,0,0.12475,0,1,0,1,1.0
81,0,3,1,22.0,0,0,9.0,S,1,0,0,0.09,0,1,0,1,1.0
82,1,3,1,29.0,0,0,9.5,S,1,0,0,0.095,0,1,0,1,1.0
83,1,3,0,24.0,0,0,7.7875,Q,1,0,0,0.077875,1,0,0,1,3.0
84,0,1,1,28.0,0,0,47.1,S,1,0,0,0.47100000000000003,0,1,0,0,1.0
85,1,2,0,17.0,0,0,10.5,S,1,0,0,0.105,0,1,1,0,1.0
86,1,3,0,33.0,3,0,15.85,S,1,3,1,0.1585,0,1,0,1,1.0
87,0,3,1,16.0,1,3,34.375,S,1,4,1,0.34375,0,1,0,1,1.0
88,0,3,1,24.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
89,1,1,0,23.0,3,2,263.0,S,1,5,1,2.63,0,1,0,0,1.0
90,0,3,1,24.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
91,0,3,1,29.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
92,0,3,1,20.0,0,0,7.8542,S,1,0,0,0.078542,0,1,0,1,1.0
93,0,1,1,46.0,1,0,61.175,S,1,1,1,0.61175,0,1,0,0,1.0
94,0,3,1,26.0,1,2,20.575,S,1,3,1,0.20575,0,1,0,1,1.0
95,0,3,1,59.0,0,0,7.25,S,1,0,0,0.0725,0,1,0,1,1.0
96,0,3,1,24.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
97,0,1,1,71.0,0,0,34.6542,C,1,0,0,0.346542,0,0,0,0,2.0
98,1,1,1,23.0,0,1,63.3583,C,1,1,1,0.633583,0,0,0,0,2.0
99,1,2,0,34.0,0,1,23.0,S,1,1,1,0.23,0,1,1,0,1.0
100,0,2,1,34.0,1,0,26.0,S,1,1,1,0.26,0,1,1,0,1.0
101,0,3,0,28.0,0,0,7.8958,S,1,0,0,0.078958,0,1,0,1,1.0
102,0,3,1,24.0,0,0,7.8958,S,1,0,0,0.078958,0,1,0,1,1.0
103,0,1,1,21.0,0,1,77.2875,S,1,1,1,0.772875,0,1,0,0,1.0
104,0,3,1,33.0,0,0,8.6542,S,1,0,0,0.086542,0,1,0,1,1.0
105,0,3,1,37.0,2,0,7.925,S,1,2,1,0.07925,0,1,0,1,1.0
106,0,3,1,28.0,0,0,7.8958,S,1,0,0,0.078958,0,1,0,1,1.0
107,1,3,0,21.0,0,0,7.65,S,1,0,0,0.0765,0,1,0,1,1.0
108,1,3,1,24.0,0,0,7.775,S,1,0,0,0.07775,0,1,0,1,1.0
109,0,3,1,38.0,0,0,7.8958,S,1,0,0,0.078958,0,1,0,1,1.0
110,1,3,0,24.0,1,0,24.15,Q,1,1,1,0.2415,1,0,0,1,3.0
111,0,1,1,47.0,0,0,52.0,S,1,0,0,0.52,0,1,0,0,1.0
112,0,3,0,14.5,1,0,14.4542,C,1,1,1,0.144542,0,0,0,1,2.0
113,0,3,1,22.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
114,0,3,0,20.0,1,0,9.825,S,1,1,1,0.09824999999999999,0,1,0,1,1.0
115,0,3,0,17.0,0,0,14.4583,C,1,0,0,0.144583,0,0,0,1,2.0
116,0,3,1,21.0,0,0,7.925,S,1,0,0,0.07925,0,1,0,1,1.0
117,0,3,1,70.5,0,0,7.75,Q,1,0,0,0.0775,1,0,0,1,3.0
118,0,2,1,29.0,1,0,21.0,S,1,1,1,0.21,0,1,1,0,1.0
119,0,1,1,24.0,0,1,247.5208,C,1,1,1,2.4752080000000003,0,0,0,0,2.0
120,0,3,0,2.0,4,2,31.275,S,0,6,1,0.31275,0,1,0,1,1.0
121,0,2,1,21.0,2,0,73.5,S,1,2,1,0.735,0,1,1,0,1.0
122,0,3,1,24.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
123,0,2,1,32.5,1,0,30.0708,C,1,1,1,0.300708,0,0,1,0,2.0
124,1,2,0,32.5,0,0,13.0,S,1,0,0,0.13,0,1,1,0,1.0
125,0,1,1,54.0,0,1,77.2875,S,1,1,1,0.772875,0,1,0,0,1.0
126,1,3,1,12.0,1,0,11.2417,C,1,1,1,0.112417,0,0,0,1,2.0
127,0,3,1,24.0,0,0,7.75,Q,1,0,0,0.0775,1,0,0,1,3.0
128,1,3,1,24.0,0,0,7.1417,S,1,0,0,0.07141700000000001,0,1,0,1,1.0
129,1,3,0,24.0,1,1,22.3583,C,1,2,1,0.223583,0,0,0,1,2.0
130,0,3,1,45.0,0,0,6.975,S,1,0,0,0.06974999999999999,0,1,0,1,1.0
131,0,3,1,33.0,0,0,7.8958,C,1,0,0,0.078958,0,0,0,1,2.0
132,0,3,1,20.0,0,0,7.05,S,1,0,0,0.0705,0,1,0,1,1.0
133,0,3,0,47.0,1,0,14.5,S,1,1,1,0.145,0,1,0,1,1.0
134,1,2,0,29.0,1,0,26.0,S,1,1,1,0.26,0,1,1,0,1.0
135,0,2,1,25.0,0,0,13.0,S,1,0,0,0.13,0,1,1,0,1.0
136,0,2,1,23.0,0,0,15.0458,C,1,0,0,0.150458,0,0,1,0,2.0
137,1,1,0,19.0,0,2,26.2833,S,1,2,1,0.262833,0,1,0,0,1.0
138,0,1,1,37.0,1,0,53.1,S,1,1,1,0.531,0,1,0,0,1.0
139,0,3,1,16.0,0,0,9.2167,S,1,0,0,0.092167,0,1,0,1,1.0
140,0,1,1,24.0,0,0,79.2,C,1,0,0,0.792,0,0,0,0,2.0
141,0,3,0,24.0,0,2,15.2458,C,1,2,1,0.15245799999999998,0,0,0,1,2.0
142,1,3,0,22.0,0,0,7.75,S,1,0,0,0.0775,0,1,0,1,1.0
143,1,3,0,24.0,1,0,15.85,S,1,1,1,0.1585,0,1,0,1,1.0
144,0,3,1,19.0,0,0,6.75,Q,1,0,0,0.0675,1,0,0,1,3.0
145,0,2,1,18.0,0,0,11.5,S,1,0,0,0.115,0,1,1,0,1.0
146,0,2,1,19.0,1,1,36.75,S,1,2,1,0.3675,0,1,1,0,1.0
147,1,3,1,27.0,0,0,7.7958,S,1,0,0,0.077958,0,1,0,1,1.0
148,0,3,0,9.0,2,2,34.375,S,1,4,1,0.34375,0,1,0,1,1.0
149,0,2,1,36.5,0,2,26.0,S,1,2,1,0.26,0,1,1,0,1.0
150,0,2,1,42.0,0,0,13.0,S,1,0,0,0.13,0,1,1,0,1.0
151,0,2,1,51.0,0,0,12.525,S,1,0,0,0.12525,0,1,1,0,1.0
152,1,1,0,22.0,1,0,66.6,S,1,1,1,0.6659999999999999,0,1,0,0,1.0
153,0,3,1,55.5,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
154,0,3,1,40.5,0,2,14.5,S,1,2,1,0.145,0,1,0,1,1.0
155,0,3,1,24.0,0,0,7.3125,S,1,0,0,0.073125,0,1,0,1,1.0
156,0,1,1,51.0,0,1,61.3792,C,1,1,1,0.613792,0,0,0,0,2.0
157,1,3,0,16.0,0,0,7.7333,Q,1,0,0,0.077333,1,0,0,1,3.0
158,0,3,1,30.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
159,0,3,1,24.0,0,0,8.6625,S,1,0,0,0.086625,0,1,0,1,1.0
160,0,3,1,24.0,8,2,69.55,S,1,10,1,0.6955,0,1,0,1,1.0
161,0,3,1,44.0,0,1,16.1,S,1,1,1,0.161,0,1,0,1,1.0
162,1,2,0,40.0,0,0,15.75,S,1,0,0,0.1575,0,1,1,0,1.0
163,0,3,1,26.0,0,0,7.775,S,1,0,0,0.07775,0,1,0,1,1.0
164,0,3,1,17.0,0,0,8.6625,S,1,0,0,0.086625,0,1,0,1,1.0
165,0,3,1,1.0,4,1,39.6875,S,0,5,1,0.396875,0,1,0,1,1.0
166,1,3,1,9.0,0,2,20.525,S,1,2,1,0.20525,0,1,0,1,1.0
167,1,1,0,37.0,0,1,55.0,S,1,1,1,0.55,0,1,0,0,1.0
168,0,3,0,45.0,1,4,27.9,S,1,5,1,0.27899999999999997,0,1,0,1,1.0
169,0,1,1,37.0,0,0,25.925,S,1,0,0,0.25925,0,1,0,0,1.0
170,0,3,1,28.0,0,0,56.4958,S,1,0,0,0.5649580000000001,0,1,0,1,1.0
171,0,1,1,61.0,0,0,33.5,S,1,0,0,0.335,0,1,0,0,1.0
172,0,3,1,4.0,4,1,29.125,Q,0,5,1,0.29125,1,0,0,1,3.0
173,1,3,0,1.0,1,1,11.1333,S,0,2,1,0.111333,0,1,0,1,1.0
174,0,3,1,21.0,0,0,7.925,S,1,0,0,0.07925,0,1,0,1,1.0
175,0,1,1,56.0,0,0,30.6958,C,1,0,0,0.306958,0,0,0,0,2.0
176,0,3,1,18.0,1,1,7.8542,S,1,2,1,0.078542,0,1,0,1,1.0
177,0,3,1,24.0,3,1,25.4667,S,1,4,1,0.254667,0,1,0,1,1.0
178,0,1,0,50.0,0,0,28.7125,C,1,0,0,0.28712499999999996,0,0,0,0,2.0
179,0,2,1,30.0,0,0,13.0,S,1,0,0,0.13,0,1,1,0,1.0
180,0,3,1,36.0,0,0,0.0,S,1,0,0,0.0,0,1,0,1,1.0
181,0,3,0,24.0,8,2,69.55,S,1,10,1,0.6955,0,1,0,1,1.0
182,0,2,1,29.0,0,0,15.05,C,1,0,0,0.1505,0,0,1,0,2.0
183,0,3,1,9.0,4,2,31.3875,S,1,6,1,0.313875,0,1,0,1,1.0
184,1,2,1,1.0,2,1,39.0,S,0,3,1,0.39,0,1,1,0,1.0
185,1,3,0,4.0,0,2,22.025,S,0,2,1,0.22024999999999997,0,1,0,1,1.0
186,0,1,1,37.0,0,0,50.0,S,1,0,0,0.5,0,1,0,0,1.0
187,1,3,0,24.0,1,0,15.5,Q,1,1,1,0.155,1,0,0,1,3.0
188,1,1,1,45.0,0,0,26.55,S,1,0,0,0.2655,0,1,0,0,1.0
189,0,3,1,40.0,1,1,15.5,Q,1,2,1,0.155,1,0,0,1,3.0
190,0,3,1,36.0,0,0,7.8958,S,1,0,0,0.078958,0,1,0,1,1.0
191,1,2,0,32.0,0,0,13.0,S,1,0,0,0.13,0,1,1,0,1.0
192,0,2,1,19.0,0,0,13.0,S,1,0,0,0.13,0,1,1,0,1.0
193,1,3,0,19.0,1,0,7.8542,S,1,1,1,0.078542,0,1,0,1,1.0
194,1,2,1,3.0,1,1,26.0,S,0,2,1,0.26,0,1,1,0,1.0
195,1,1,0,44.0,0,0,27.7208,C,1,0,0,0.277208,0,0,0,0,2.0
196,1,1,0,58.0,0,0,146.5208,C,1,0,0,1.465208,0,0,0,0,2.0
197,0,3,1,24.0,0,0,7.75,Q,1,0,0,0.0775,1,0,0,1,3.0
198,0,3,1,42.0,0,1,8.4042,S,1,1,1,0.08404199999999999,0,1,0,1,1.0
199,1,3,0,24.0,0,0,7.75,Q,1,0,0,0.0775,1,0,0,1,3.0
200,0,2,0,24.0,0,0,13.0,S,1,0,0,0.13,0,1,1,0,1.0
201,0,3,1,28.0,0,0,9.5,S,1,0,0,0.095,0,1,0,1,1.0
202,0,3,1,24.0,8,2,69.55,S,1,10,1,0.6955,0,1,0,1,1.0
203,0,3,1,34.0,0,0,6.4958,S,1,0,0,0.064958,0,1,0,1,1.0
204,0,3,1,45.5,0,0,7.225,C,1,0,0,0.07225,0,0,0,1,2.0
205,1,3,1,18.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
206,0,3,0,2.0,0,1,10.4625,S,0,1,1,0.10462500000000001,0,1,0,1,1.0
207,0,3,1,32.0,1,0,15.85,S,1,1,1,0.1585,0,1,0,1,1.0
208,1,3,1,26.0,0,0,18.7875,C,1,0,0,0.18787500000000001,0,0,0,1,2.0
209,1,3,0,16.0,0,0,7.75,Q,1,0,0,0.0775,1,0,0,1,3.0
210,1,1,1,40.0,0,0,31.0,C,1,0,0,0.31,0,0,0,0,2.0
211,0,3,1,24.0,0,0,7.05,S,1,0,0,0.0705,0,1,0,1,1.0
212,1,2,0,35.0,0,0,21.0,S,1,0,0,0.21,0,1,1,0,1.0
213,0,3,1,22.0,0,0,7.25,S,1,0,0,0.0725,0,1,0,1,1.0
214,0,2,1,30.0,0,0,13.0,S,1,0,0,0.13,0,1,1,0,1.0
215,0,3,1,24.0,1,0,7.75,Q,1,1,1,0.0775,1,0,0,1,3.0
216,1,1,0,31.0,1,0,113.275,C,1,1,1,1.1327500000000001,0,0,0,0,2.0
217,1,3,0,27.0,0,0,7.925,S,1,0,0,0.07925,0,1,0,1,1.0
218,0,2,1,42.0,1,0,27.0,S,1,1,1,0.27,0,1,1,0,1.0
219,1,1,0,32.0,0,0,76.2917,C,1,0,0,0.7629170000000001,0,0,0,0,2.0
220,0,2,1,30.0,0,0,10.5,S,1,0,0,0.105,0,1,1,0,1.0
